Id,Label,Name,Gruppe,Semester
an2,an2,Analysis 2,Grundlagen: Mathematik 2,5.0
min. Anzahl Module,min. Anzahl Module,Kontext,Projekte: Maschinenbau,nan
dpev1,dpev1,Dig. Produktentw. & Verarbeitung 1,Fachvertiefung: Maschinenbau,6.0
dms,dms,Dimensionierung,Grundlagen: Technische Mechanik,6.0
mst,mst,Mess- und Sensortechnik,Grundlagen: Labor,7.0
nan,nan,Experiment Engineering Workshop,Fachvertiefung: Maschinenbau,6.0
kt2,kt2,Kunststofftechnik 2,Fachvertiefung: Maschinenbau,6.0
mel,mel,Maschinenelemente,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",5.0
labvM,labvM,Labview,Fachergänzung: Maschinenbau,6.0
fkte,fkte,Festkörpertechnologie,Erneuerbare Energien: Wind und Wasser,6.0
amat,amat,Advanced Materials,Fachvertiefung: Maschinenbau,6.0
wkwkL,wkwkL,Workshop Werkstoffe Konstruktion,Grundlagen: Labor,3.0
egts,egts,Energietechnische Systeme,"Grundlagen: Thermo-/Fluid-
Energietechnik",6.0
bb,bb,,,
mlam,mlam,Machine Learning Analyse von Messdaten,Erneuerbare Energien: Wind und Wasser,6.0
mata,mata,"Materialwiederverwertung, Akzeptanz",Erneuerbare Energien: Wind und Wasser,6.0
waem,waem,Workshop Adv. Experimental Methods,Erneuerbare Energien: Wind und Wasser,6.0
sww,sww,Schwingungen und Wellen,"Grundlagen:
Naturwissenschaften",5.0
an1,an1,Analysis 1,Grundlagen: Mathematik 2,12.0
4,4,Englisch,Projekte: Maschinenbau,nan
am,am,Additive Manufacturing,Fachvertiefung: Maschinenbau,nan
phwkL,phwkL,Labor Physik & Werkstoffe,Grundlagen: Labor,7.0
idacu,idacu,Industrial Acoustics with Lab,Erneuerbare Energien: Wind und Wasser,6.0
md,md,Maschinendynamik,Grundlagen: Technische Mechanik,6.0
hkon,hkon,Herstellung und Konstruktion,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",11.0
infM,infM,Informatik (M),Grundlagen: Mathematik 1,4.0
c1m,c1m,Composite I - Manufacturing Technol,Fachvertiefung: Maschinenbau,6.0
atL,atL,Antriebstechnik mit Labor,"Grundlagen: Elektrische
Energietechnik",6.0
elstk,elstk,Elastostatik,Grundlagen: Technische Mechanik,6.0
fems,fems,FEM Simulation,Grundlagen: Labor,7.0
thdM,thdM,Thermodynamik,"Grundlagen: Thermo-/Fluid-
Energietechnik",6.0
naku,naku,Nachhaltige Kunststofftechnik,Erneuerbare Energien: Wind und Wasser,6.0
kmk,kmk,Kinematik und Kinetik,Grundlagen: Technische Mechanik,6.0
cfds,cfds,CFD Simulation,Grundlagen: Labor,7.0
matl,matl,MATLAB-Workshop,Fachergänzung: Maschinenbau,6.0
pro5M,pro5M,Projekt 5 Maschinenbau,Projekte: Maschinenbau,nan
meas1,meas1,Mechatronische Systeme,Erneuerbare Energien: Wind und Wasser,14.0
mantL,mantL,Lab Manufacturing Technology,Erneuerbare Energien: Wind und Wasser,6.0
eltM,eltM,Elektrotechnik (M),"Grundlagen: Elektrische
Energietechnik",6.0
mea,mea,Mechatronics with Lab,Fachvertiefung: Maschinenbau,6.0
dan,dan,Datenanalyse (Machine Learning),Fachvertiefung: Maschinenbau,6.0
